EBELN,MATNR,VendorId,VendorName,Qty_Ordered,UOM,Unit_Price_EUR,Total_Value_EUR,Currency,PO_Date,Delivery_Required_Date,Plant,PurchaseGroup,Status,Anomaly
454500000,MAT-RAFx-004,VND-0001,Safran Aircraft Engines,5,Engine,5275504.83,26377524.15,EUR,2019-10-13,2020-01-03,Merignac,PG-SAFETY,Fully Delivered,
454500001,MAT-FAL8-004,VND-0001,Safran Aircraft Engines,1,Avionics,1776483.35,1776483.35,EUR,2020-04-21,2021-02-03,Bangalore,PG-MRO,Fully Delivered,
454500002,MAT-RAFx-008,VND-0008,Pratt & Whitney,10,Fuel System,366514.0,3665140.0,EUR,2023-11-16,2023-12-19,Hyderabad,PG-ENGINE,Fully Delivered,
454500003,MAT-RAFx-009,VND-0003,Tata Advanced Systems Ltd,4,Safety,837060.19,3348240.76,EUR,2020-11-20,2021-02-10,Nagpur,PG-SAFETY,Open,
454500004,MAT-RAFx-009,VND-0013,Collins Aerospace,1,Safety,808670.53,808670.53,EUR,2022-01-03,2022-04-06,Bangalore,PG-ENGINE,Blocked,
454500005,MAT-MRO-005,VND-0015,Honeywell Aerospace India,6,MRO,187289.62,1123737.72,EUR,2022-12-13,2023-02-16,Nagpur,PG-AIRFRAME,Open,
454500006,MAT-RAFx-008,VND-0014,GE Aviation,2,Fuel System,372711.67,745423.34,EUR,2021-07-17,2022-07-07,Nagpur,PG-AVIONICS,Fully Delivered,
454500007,MAT-RAFx-009,VND-0012,Bharat Electronics Ltd,2,Safety,793619.55,1587239.1,EUR,2019-12-17,2020-10-15,Hyderabad,PG-ENGINE,Fully Delivered,
454500008,MAT-MRO-003,VND-0004,Dassault Reliance Aerospace,44,MRO,11155.35,490835.4,EUR,2023-04-23,2023-06-20,Nagpur,PG-AIRFRAME,Partially Delivered,PRICE_DEVIATION_HIGH
454500009,MAT-RAFx-007,VND-0015,Honeywell Aerospace India,10,Structure,222645.95,2226459.5,EUR,2020-10-06,2021-02-21,Hyderabad,PG-AVIONICS,Fully Delivered,
454500010,MAT-RAFx-009,VND-0003,Tata Advanced Systems Ltd,4,Safety,810574.62,3242298.48,EUR,2022-01-08,2022-06-21,Bangalore,PG-MRO,Fully Delivered,
454500011,MAT-FAL8-002,VND-0004,Dassault Reliance Aerospace,3,Airframe,320487.75,961463.25,EUR,2019-07-06,2019-08-29,Bordeaux,PG-MRO,Cancelled,
454500012,MAT-MRO-005,VND-0002,Thales Group,7,MRO,181495.93,1270471.51,EUR,2021-08-16,2022-06-12,Merignac,PG-AIRFRAME,Partially Delivered,
454500013,MAT-MRO-003,VND-0013,Collins Aerospace,18,MRO,8552.4,153943.2,EUR,2020-11-27,2021-02-22,Merignac,PG-ENGINE,Partially Delivered,
454500014,MAT-MRO-002,VND-0013,Collins Aerospace,12,MRO,45.06,540.72,EUR,2019-08-06,2020-07-21,Bangalore,PG-AVIONICS,Partially Delivered,
454500015,MAT-RAFx-005,VND-0006,Reliance Defence Ltd,3,Avionics,4125832.64,12377497.92,EUR,2023-05-14,2024-03-10,Hyderabad,PG-AIRFRAME,Cancelled,
454500016,MAT-RAFx-004,VND-0015,Honeywell Aerospace India,6,Engine,5833275.25,34999651.5,EUR,2023-08-31,2024-03-05,Bangalore,PG-AIRFRAME,Partially Delivered,
454500017,MAT-RAFx-003,VND-0012,Bharat Electronics Ltd,8,Landing Gear,998035.53,7984284.24,EUR,2023-04-07,2024-02-03,Hyderabad,PG-SAFETY,Fully Delivered,
454500018,MAT-RAFx-006,VND-0005,Hindustan Aeronautics Ltd,9,Avionics,3920480.36,35284323.24,EUR,2021-05-16,2021-10-01,Bordeaux,PG-ENGINE,Cancelled,
454500019,MAT-FAL8-003,VND-0011,Dynamatic Technologies,6,Engine,2772268.84,16633613.04,EUR,2021-11-25,2022-08-13,Nagpur,PG-AIRFRAME,Open,
