InvoiceId,EBELN,MBLNR,VendorId,InvoiceDate,GR_Date,Qty_PO,Qty_GR,Qty_Invoiced,Unit_Price_PO_EUR,Unit_Price_Invoice_EUR,Amount_PO_EUR,Amount_Invoice_EUR,Price_Delta_EUR,PaymentTerms,Status,Anomaly
MIRO0100000,454500000,495000000000,VND-0001,2020-01-26,2020-01-03,5,5,5,5275504.83,5275504.83,26377524.15,26377524.15,0.0,NET90,Paid,
MIRO0100001,454500001,495000000001,VND-0001,2021-02-08,2021-02-03,1,1,1,1776483.35,1776483.35,1776483.35,1776483.35,0.0,NET90,Posted,
MIRO0100002,454500002,495000000002,VND-0008,2024-01-16,2024-01-03,10,10,10,366514.0,366514.0,3665140.0,3665140.0,0.0,NET60,Parked,
MIRO0100003,454500006,495000000003,VND-0014,2022-07-25,2022-07-22,2,2,2,372711.67,372711.67,745423.34,745423.34,0.0,NET30,Posted,
MIRO0100004,454500007,495000000004,VND-0012,2020-10-15,2020-10-10,2,2,2,793619.55,793619.55,1587239.1,1587239.1,0.0,NET90,Posted,
MIRO0100005,454500008,495000000005,VND-0004,2023-07-13,2023-06-20,44,43,43,11155.35,11155.35,490835.4,479680.05,0.0,NET45,Blocked,
MIRO0100006,454500009,495000000006,VND-0015,2021-03-19,2021-02-21,10,10,10,222645.95,222645.95,2226459.5,2226459.5,0.0,NET30,Paid,INVOICE_QTY_EXCESS
MIRO0100007,454500010,495000000007,VND-0003,2022-07-22,2022-07-06,4,4,4,810574.62,810574.62,3242298.48,3242298.48,0.0,NET45,Blocked,
MIRO0100008,454500012,495000000008,VND-0002,2022-07-10,2022-06-12,7,6,6,181495.93,181495.93,1270471.51,1088975.58,0.0,NET90,Paid,
MIRO0100009,454500013,495000000009,VND-0013,2021-03-17,2021-02-22,18,12,12,8552.4,8552.4,153943.2,102628.8,0.0,NET60,Blocked,
MIRO0100010,454500014,495000000010,VND-0013,2020-08-02,2020-07-21,12,11,11,45.06,45.06,540.72,495.66,0.0,NET60,Blocked,
MIRO0100011,454500016,495000000011,VND-0015,2024-03-23,2024-03-20,6,3,3,5833275.25,5833275.25,34999651.5,17499825.75,0.0,NET45,Paid,
MIRO0100012,454500017,495000000012,VND-0012,2024-02-22,2024-02-03,8,8,8,998035.53,998035.53,7984284.24,7984284.24,0.0,NET90,Blocked,
MIRO0100013,454500020,495000000013,VND-0009,2019-05-25,2019-05-21,15,15,15,117170.29,117170.29,1757554.35,1757554.35,0.0,NET60,Paid,
MIRO0100014,454500021,495000000014,VND-0009,2022-03-05,2022-02-12,4,4,4,916328.54,916328.54,3665314.16,3665314.16,0.0,NET45,Blocked,
MIRO0100015,454500024,495000000015,VND-0004,2021-10-18,2021-09-29,9,6,6,208273.42,208273.42,1874460.78,1249640.52,0.0,NET90,Blocked,
MIRO0100016,454500028,495000000016,VND-0001,2020-03-21,2020-03-07,48,48,48,7955.45,9541.51,381861.6,457992.48,76130.88,NET30,Parked,INVOICE_PRICE_DEVIATION
MIRO0100017,454500030,495000000017,VND-0004,2022-09-24,2022-09-06,38,22,22,93391.32,93391.32,3548870.16,2054609.04,0.0,NET90,Paid,
MIRO0100018,454500031,495000000018,VND-0004,2021-07-01,2021-06-26,6,6,6,747388.01,824489.93,4484328.06,4946939.58,462611.52,NET60,Parked,INVOICE_PRICE_DEVIATION
MIRO0100019,454500032,495000000019,VND-0008,2019-11-12,2019-10-14,10,10,10,4534961.38,4534961.38,45349613.8,45349613.8,0.0,NET90,Blocked,
MIRO0100020,454500033,495000000020,VND-0015,2020-08-30,2020-08-05,4,4,4,930168.12,930168.12,3720672.48,3720672.48,0.0,NET45,Paid,
MIRO0100021,454500035,495000000021,VND-0003,2020-10-08,2020-09-28,18,17,17,7913.66,7913.66,142445.88,134532.22,0.0,NET60,Posted,
MIRO0100022,454500042,495000000022,VND-0006,2024-05-10,2024-04-14,5,4,4,4415400.45,4415400.45,22077002.25,17661601.8,0.0,NET45,Paid,
MIRO0100023,454500043,495000000023,VND-0014,2021-03-18,2021-02-24,2,2,2,838267.76,838267.76,1676535.52,1676535.52,0.0,NET30,Paid,
MIRO0100024,454500046,495000000024,VND-0006,2023-05-06,2023-04-24,7,7,7,195551.12,195551.12,1368857.84,1368857.84,0.0,NET30,Parked,
MIRO0100025,454500047,495000000025,VND-0005,2021-10-19,2021-10-02,43,43,43,44.34,44.34,1906.62,1906.62,0.0,NET45,Posted,
MIRO0100026,454500048,495000000026,VND-0010,2023-10-29,2023-10-09,5,4,4,182219.82,182219.82,911099.1,728879.28,0.0,NET45,Posted,
