OpportunityId,AccountId,AccountName,OpportunityName,Product,Quantity,Amount_EUR,Stage,Probability,CloseDate,CreatedDate,SalesRep,LeadSource,CycleLength_Days,Anomaly,Region
OPP00001,ACC0001,Indian Air Force,Upgrade EW Suite — India (1 units),Upgrade EW Suite,1,7788097.68,Negotiation,75,2027-07-15,2020-02-16,Antoine Morel,Diplomatic Channel,,,Asia
OPP00002,ACC0001,Indian Air Force,Upgrade EW Suite — India (1 units),Upgrade EW Suite,1,7242006.13,Prospecting,10,2027-02-05,2020-01-01,Marc Dupont,Referral,,,Asia
OPP00003,ACC0001,Indian Air Force,Rafale F3-R — India (12 units),Rafale F3-R,12,1159890344.61,Closed Won,100,2024-03-26,2023-05-09,Jean-Pierre Martin,Air Show,322.0,,Asia
OPP00004,ACC0001,Indian Air Force,Upgrade EW Suite — India (1 units),Upgrade EW Suite,1,7544212.61,Negotiation,75,2026-10-10,2021-09-16,Antoine Morel,Diplomatic Channel,,,Asia
OPP00005,ACC0002,Indian Navy,Rafale F3-R — Egypt (10 units),Rafale F3-R,10,838333781.48,Closed Won,100,2019-07-30,2017-07-23,Antoine Morel,Direct Contact,737.0,,Africa
OPP00006,ACC0002,Indian Navy,Spare Parts Package — Egypt (1 units),Spare Parts Package,1,1909266.74,Qualification,25,2027-07-16,2022-09-30,Antoine Morel,Direct Contact,,,Africa
OPP00007,ACC0003,Armée de l'Air française,Falcon 10X — France (1 units),Falcon 10X,1,70807776.53,Prospecting,10,2027-03-06,2017-08-13,Marc Dupont,Referral,,,Europe
OPP00008,ACC0003,Armée de l'Air française,MRO Contract Rafale — France (8 units),MRO Contract Rafale,8,36061839.25,Qualification,25,2027-05-26,2021-10-30,Antoine Morel,Referral,,,Europe
OPP00009,ACC0003,Armée de l'Air française,Rafale F4 — France (26 units),Rafale F4,26,2648711594.84,Proposal,50,2027-08-15,2017-06-23,Antoine Morel,Direct Contact,,,Europe
OPP00010,ACC0003,Armée de l'Air française,Offset Industrial Package — France (1 units),Offset Industrial Package,1,0.0,Closed Won,100,2027-06-20,2021-09-07,Marc Dupont,Government RFP,2112.0,AMOUNT_ZERO_ON_CLOSED_WON,Europe
OPP00011,ACC0003,Armée de l'Air française,Offset Industrial Package — France (1 units),Offset Industrial Package,1,14880290.71,Prospecting,10,2026-08-18,2021-01-22,Antoine Morel,Air Show,,,Europe
OPP00012,ACC0003,Armée de l'Air française,Spare Parts Package — France (1 units),Spare Parts Package,1,0.0,Closed Won,100,2026-10-21,2020-10-22,Jean-Pierre Martin,Diplomatic Channel,2190.0,AMOUNT_ZERO_ON_CLOSED_WON,Europe
OPP00013,ACC0004,UAE Air Force,Falcon 6X — UAE (3 units),Falcon 6X,3,130979692.84,Qualification,25,2026-09-28,2018-08-28,Sophie Leclerc,Air Show,,,Middle East
OPP00014,ACC0004,UAE Air Force,Falcon 8X — UAE (6 units),Falcon 8X,6,359576425.8,Closed Won,100,2026-05-02,2023-04-29,Antoine Morel,Referral,1099.0,,Middle East
OPP00015,ACC0004,UAE Air Force,MRO Contract Rafale — UAE (10 units),MRO Contract Rafale,10,49397628.16,Proposal,50,2027-03-08,2022-04-05,Marc Dupont,Diplomatic Channel,,,Middle East
OPP00016,ACC0004,UAE Air Force,Rafale F4 — UAE (20 units),Rafale F4,20,0.0,Closed Won,100,2027-02-19,2017-06-04,Jean-Pierre Martin,Diplomatic Channel,3547.0,AMOUNT_ZERO_ON_CLOSED_WON,Middle East
OPP00017,ACC0004,UAE Air Force,Offset Industrial Package — UAE (1 units),Offset Industrial Package,1,15021203.45,Negotiation,75,2026-06-13,2022-03-11,Sophie Leclerc,Referral,,,Middle East
OPP00018,ACC0004,UAE Air Force,Offset Industrial Package — UAE (1 units),Offset Industrial Package,1,14926887.08,Closed Lost,0,2020-03-14,2018-09-10,Marc Dupont,Air Show,551.0,,Middle East
OPP00019,ACC0005,Hellenic Air Force,Falcon 8X — Greece (1 units),Falcon 8X,1,56972924.68,Closed Lost,0,2023-08-17,2021-11-29,Marc Dupont,Referral,626.0,,Europe
OPP00020,ACC0005,Hellenic Air Force,Spare Parts Package — Greece (1 units),Spare Parts Package,1,1963507.76,Closed Won,100,2021-07-31,2020-10-17,Jean-Pierre Martin,Referral,287.0,,Europe
OPP00021,ACC0005,Hellenic Air Force,Rafale F4 — Greece (36 units),Rafale F4,36,3542011471.87,Proposal,50,2028-03-04,2020-03-09,Sophie Leclerc,Referral,,,Europe
OPP00022,ACC0005,Hellenic Air Force,Rafale F4 — Greece (10 units),Rafale F4,10,1029181826.46,Closed Lost,0,2022-09-07,2020-06-24,Jean-Pierre Martin,Referral,805.0,,Europe
OPP00023,ACC0005,Hellenic Air Force,Upgrade EW Suite — Greece (1 units),Upgrade EW Suite,1,7802686.89,Closed Won,100,2024-12-07,2020-09-07,Antoine Morel,Air Show,1552.0,,Europe
OPP00024,ACC0005,Hellenic Air Force,Spare Parts Package — Greece (1 units),Spare Parts Package,1,2003395.39,Proposal,50,2026-11-02,2017-03-16,Isabelle Bernard,Government RFP,,,Europe
OPP00025,ACC0006,Qatar Emiri Air Force,Falcon 8X — Qatar (2 units),Falcon 8X,2,109851962.02,Negotiation,75,2027-11-05,2018-02-19,Jean-Pierre Martin,Referral,,,Middle East
OPP00026,ACC0006,Qatar Emiri Air Force,Offset Industrial Package — Qatar (1 units),Offset Industrial Package,1,13893147.12,Qualification,25,2026-11-03,2021-03-24,Sophie Leclerc,Direct Contact,,,Middle East
